ID,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_tier,ppi,total_storage_gb,has_ssd,has_hdd,has_dedicated_gpu,cpu_tier_score,ram_log2,log_price,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,cpu_brand_AMD,cpu_brand_Intel,cpu_brand_Other,cpu_tier_Atom,cpu_tier_Celeron,cpu_tier_Other,cpu_tier_Pentium,cpu_tier_Ryzen,cpu_tier_Xeon,cpu_tier_i3,cpu_tier_i5,cpu_tier_i7,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_Nvidia,os_Linux,os_NoOS,os_Win10,os_WinOther,os_macOS
1042,15.6,75924.0,16,2.4,0,1,2.5,6,256,0,0,1,141.21199808219862,256,1,0,1,6,4.0,11.237501289913949,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1043,15.6,55922.688,8,2.3,0,0,2.3,6,256,0,0,0,141.21199808219862,256,1,0,0,5,3.0,10.93174332609208,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1044,14.0,53280.0,4,1.54,0,0,2.3,6,0,500,0,0,157.3505121487356,500,0,1,0,5,2.0,10.883335073806908,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1045,15.6,112065.9552,8,1.84,0,0,2.4,6,256,500,0,0,141.21199808219862,756,1,1,0,5,3.0,11.62685178594317,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1046,14.0,78268.31999999999,8,1.43,0,0,2.3,6,256,0,0,0,157.3505121487356,256,1,0,0,5,3.0,11.26791097888584,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1047,17.3,82351.6992,16,3.78,0,1,2.7,6,256,1024,0,1,127.33567457123111,1280,1,1,1,6,4.0,11.31876651223924,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1048,17.3,122010.66719999998,16,4.6,0,1,2.6,6,128,1024,0,1,127.33567457123111,1152,1,1,1,6,4.0,11.711871951929755,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1049,11.6,15339.311999999998,4,1.2,0,0,1.6,0,0,0,16,0,135.0942111925629,16,0,0,0,1,2.0,9.638239413697464,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1050,14.0,139593.6,16,1.1,0,1,2.6,6,256,0,0,0,209.8006828649808,256,1,0,0,6,4.0,11.846497786613819,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1051,15.6,52161.12,8,1.91,0,1,2.7,7,0,1024,0,1,141.21199808219862,1024,0,1,1,6,3.0,10.862111839946362,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1052,15.6,58288.32,8,2.3,1,1,2.7,7,256,0,0,0,141.21199808219862,256,1,0,0,5,3.0,10.973174165162662,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1053,15.6,52161.12,4,2.04,0,0,2.5,7,256,0,0,0,100.45466986113651,256,1,0,0,5,2.0,10.862111839946362,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1054,13.3,120093.12,16,1.2,1,0,2.7,7,1024,0,0,0,276.053530085501,1024,1,0,0,6,4.0,11.696031047668868,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1055,15.6,37570.392,4,2.31,0,0,2.3,6,0,500,0,0,100.45466986113651,500,0,1,0,4,2.0,10.533998188720084,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
1056,15.6,26586.72,4,1.96,0,0,2.5,7,0,500,0,0,100.45466986113651,500,0,1,0,5,2.0,10.188204734039374,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
1057,15.6,23922.72,8,2.4,0,0,2.2,0,0,1024,0,1,100.45466986113651,1024,0,1,1,3,3.0,10.082625714367484,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1058,13.3,69210.72,12,1.6,1,1,2.7,7,256,0,0,0,165.6321180513006,256,1,0,0,6,3.584962500721156,11.14492549142712,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1059,15.6,96916.32,16,2.94,0,0,2.6,6,256,1024,0,2,141.21199808219862,1280,1,1,1,6,4.0,11.481613522876666,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1060,15.6,57009.6,8,2.04,0,0,2.7,7,256,0,0,0,141.21199808219862,256,1,0,0,6,3.0,10.950992494439637,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1061,17.3,53173.44,16,4.0,0,1,2.6,6,0,1024,0,2,127.33567457123111,1024,0,1,1,6,4.0,10.881333108748292,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
1062,15.6,29783.52,4,2.25,0,0,2.5,7,0,1024,0,0,141.21199808219862,1024,0,1,0,5,2.0,10.301744074438556,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1063,15.6,52746.6672,16,2.32,0,0,2.7,7,0,2048,0,1,141.21199808219862,2048,0,1,1,6,4.0,10.873274826663733,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
1064,15.6,102777.12,16,1.8,0,0,2.6,6,256,1024,0,2,141.21199808219862,1280,1,1,1,6,4.0,11.540327768882529,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1065,13.3,77682.23999999999,8,1.29,0,0,2.7,7,256,0,0,0,165.6321180513006,256,1,0,0,6,3.0,11.260394811673141,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1066,17.3,211788.0,64,3.58,0,1,2.7,6,1024,0,0,1,127.33567457123111,1024,1,0,1,6,6.0,12.263345775012255,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
